"Date","Price","Open","High","Low","Change %"
"01/30/2023","1.430","1.420","1.450","1.420","0.70%"
"01/29/2023","1.420","1.420","1.420","1.420","-4.05%"
"01/28/2023","1.480","1.420","1.480","1.420","3.50%"
"01/27/2023","1.430","1.420","1.510","1.360","0.70%"
"01/26/2023","1.420","1.400","1.490","1.380","0.00%"
"01/25/2023","1.420","1.430","1.500","1.340","2.16%"
"01/24/2023","1.390","1.380","1.500","1.370","-0.71%"
"01/23/2023","1.400","1.370","1.520","1.370","0.00%"
"01/22/2023","1.400","1.370","1.440","1.370","0.00%"
"01/20/2023","1.400","1.290","1.490","1.290","0.00%"
"01/19/2023","1.400","1.350","1.460","1.290","0.00%"
"01/18/2023","1.400","1.330","1.500","1.290","-2.78%"
"01/17/2023","1.440","1.310","1.530","1.310","0.00%"
"01/16/2023","1.440","1.250","1.500","1.250","1.41%"
"01/15/2023","1.420","1.460","1.460","1.230","-2.74%"
"01/14/2023","1.460","1.230","1.460","1.230","0.00%"
"01/13/2023","1.460","1.310","1.550","1.230","-2.01%"
"01/12/2023","1.490","1.370","1.550","1.310","0.68%"
"01/11/2023","1.480","1.370","1.550","1.360","-0.67%"
"01/10/2023","1.490","1.480","1.550","1.340","0.68%"
"01/09/2023","1.480","1.530","1.550","1.340","-0.67%"
"01/08/2023","1.490","1.480","1.550","1.480","0.68%"
"01/07/2023","1.480","1.480","1.480","1.480","0.00%"
"01/06/2023","1.480","1.440","1.550","1.400","-0.67%"
"01/05/2023","1.490","1.510","1.550","1.410","0.00%"
"01/04/2023","1.490","1.400","1.600","1.360","-3.87%"
"01/03/2023","1.550","1.600","1.600","1.440","0.00%"
"01/02/2023","1.550","1.600","1.640","1.470","0.00%"
"01/01/2023","1.550","1.560","1.560","1.400","-0.64%"
"12/30/2022","1.560","1.410","1.630","1.400","-1.89%"
"12/29/2022","1.590","1.330","1.660","1.330","2.58%"
"12/28/2022","1.550","1.310","1.690","1.310","2.65%"
"12/27/2022","1.510","1.340","1.580","1.310","-1.31%"
"12/26/2022","1.530","1.340","1.530","1.340","-0.65%"
"12/23/2022","1.540","1.200","1.600","1.200","22.22%"
"12/22/2022","1.260","1.160","1.480","1.160","0.00%"
"12/21/2022","1.260","1.130","1.460","1.130","0.00%"
"12/20/2022","1.260","1.150","1.310","1.130","0.00%"
"12/19/2022","1.260","1.110","1.330","1.110","-1.56%"
"12/18/2022","1.280","1.270","1.280","1.110","15.32%"
